mavpackettype,TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
IMU,46831502,-0.006370241753757,9.237568156095222e-05,0.0006467073690146208,-0.1952514946460724,-0.13488326966762543,-9.77143669128418,0,0,55.054840087890625,1,1,998,998
IMU,46870681,-0.005606330931186676,0.00019511289428919554,0.0020952224731445312,-0.20004287362098694,-0.1363353431224823,-9.777207374572754,0,0,55.059165954589844,1,1,998,998
IMU,46911174,-0.005739083047956228,-0.0005714392173103988,0.001189462374895811,-0.18939119577407837,-0.11897581815719604,-9.773050308227539,0,0,55.063575744628906,1,1,998,998
IMU,46951067,-0.0064278338104486465,-0.00028159903013147414,0.0006429440109059215,-0.1992296278476715,-0.14246051013469696,-9.784862518310547,0,0,55.06776428222656,1,1,998,998
IMU,46991697,-0.006536050233989954,5.216710633249022e-05,0.0014755352167412639,-0.1932796686887741,-0.15659242868423462,-9.789710998535156,0,0,55.071128845214844,1,1,998,998
IMU,47032281,-0.006427731830626726,-0.0009096647263504565,-0.019013261422514915,-0.19711150228977203,-0.05632539093494415,-9.784783363342285,0,0,55.072166442871094,1,1,998,998
IMU,47072322,-0.0029657871928066015,0.002979324199259281,-0.011366326361894608,-0.1929803043603897,-0.1979295015335083,-9.664705276489258,0,0,55.070716857910156,1,1,998,998
IMU,47112707,-0.005287382286041975,0.0025642039254307747,-0.0041459305211901665,-0.13617274165153503,-0.09733039885759354,-9.79909896850586,0,0,55.070518493652344,1,1,998,998
IMU,47152746,-0.006802225951105356,0.005678398534655571,0.014090951532125473,-0.08892756700515747,-0.26569172739982605,-9.750978469848633,0,0,55.0703239440918,1,1,998,998
IMU,47193659,-0.005198296159505844,-0.0007725173491053283,0.002838789951056242,-0.17715942859649658,-0.05677036941051483,-9.757593154907227,0,0,55.06992721557617,1,1,998,998
IMU,47233491,-0.0062641967087984085,0.0017220715526491404,0.009303945116698742,-0.5399436354637146,-0.4027455449104309,-9.781474113464355,0,0,55.07027816772461,1,1,998,998
IMU,47273463,-0.009635984897613525,0.0007500904612243176,0.0004296955594327301,0.04071766883134842,-0.19463476538658142,-9.755671501159668,0,0,55.07100296020508,1,1,998,998
IMU,47314499,-0.007634666748344898,-0.0009333455236628652,0.011892823502421379,-0.1544870287179947,-0.5286334753036499,-9.756149291992188,0,0,55.072837829589844,1,1,998,998
IMU,47354530,-0.008756076917052269,-0.0010654345387592912,0.09646189957857132,0.05124897509813309,-0.40782418847084045,-9.78342056274414,0,0,55.07554244995117,1,1,998,998
IMU,47395341,-0.011480145156383514,0.0007726557087153196,0.1699373424053192,-0.09029979258775711,-0.39236053824424744,-9.86446475982666,0,0,55.078712463378906,1,1,998,998
IMU,47434754,-0.006865493021905422,-0.003234465140849352,0.180087149143219,0.006769170053303242,-0.33023086190223694,-9.971699714660645,0,0,55.08196258544922,1,1,998,998
IMU,47474745,-0.003936379682272673,0.004729480482637882,0.03867434710264206,-0.3268391489982605,0.5294907093048096,-9.910863876342773,0,0,55.08499526977539,1,1,998,998
IMU,47515518,-0.004517669789493084,0.0030740154907107353,-0.06471837311983109,-0.18664856255054474,0.01143341138958931,-9.913597106933594,0,0,55.08787536621094,1,1,998,998
IMU,47555612,-0.013738480396568775,-0.006024924106895924,-0.09246019273996353,-0.10177244246006012,-0.08598922193050385,-9.99953842163086,0,0,55.09086990356445,1,1,998,998
IMU,47596253,-0.006331019103527069,-0.00940575823187828,-0.008832964114844799,-0.18721520900726318,-0.5333572626113892,-9.750249862670898,0,0,55.093162536621094,1,1,998,998
IMU,47636132,-0.01379014179110527,-0.015066411346197128,-0.008186467923223972,-0.2232610583305359,-0.41736939549446106,-9.863199234008789,0,0,55.09574508666992,1,1,998,998
IMU,47676097,0.0023344168439507484,-0.020356161519885063,0.08514831960201263,-0.33637019991874695,-0.6391403675079346,-9.949443817138672,0,0,55.09798812866211,1,1,998,998
IMU,47716678,-0.004220010247081518,-0.011155582964420319,0.03138142451643944,-0.30708834528923035,-0.20269013941287994,-9.799861907958984,0,0,55.099891662597656,1,1,998,998
IMU,47756607,-0.004502366296947002,0.030372049659490585,0.0336339958012104,-0.3921354413032532,0.1425623893737793,-9.6287841796875,0,0,55.10175323486328,1,1,998,998
IMU,47797394,-0.03245524689555168,-0.003583301557227969,-0.02158885821700096,0.06259384751319885,-0.25066080689430237,-9.837254524230957,0,0,55.1038703918457,1,1,998,998
IMU,47836724,0.01186747569590807,-0.019835911691188812,-0.09494799375534058,-0.4077472686767578,0.49508342146873474,-9.942049980163574,0,0,55.106224060058594,1,1,998,998
IMU,47876589,0.07071051746606827,-0.07431060075759888,0.05614183843135834,0.34243959188461304,1.3862800598144531,-9.412365913391113,0,0,55.10958480834961,1,1,998,998
IMU,47917082,0.009658596478402615,0.0533897802233696,-0.0582646019756794,-1.473966121673584,-1.8416390419006348,-9.717577934265137,0,0,55.11333465576172,1,1,998,998
IMU,47957082,0.012317223474383354,0.016004059463739395,0.04816462844610214,-0.29143309593200684,-0.4230169951915741,-9.581581115722656,0,0,55.116031646728516,1,1,998,998
IMU,47997624,-0.029183046892285347,-0.020220879465341568,0.0430900864303112,0.09702414274215698,-1.061916708946228,-9.753210067749023,0,0,55.118045806884766,1,1,998,998
IMU,48038302,-0.03250375762581825,-0.06752035021781921,0.017918583005666733,1.7569291591644287,-1.3979244232177734,-10.077221870422363,0,0,55.12001037597656,1,1,998,998
IMU,48078273,-0.04699601233005524,-0.024935878813266754,-0.0032566851004958153,-0.7239857912063599,0.14297837018966675,-9.90137767791748,0,0,55.122100830078125,1,1,998,998
IMU,48118701,-0.012461617588996887,-0.05013735592365265,0.03317486122250557,0.42352545261383057,1.4402720928192139,-9.040711402893066,0,0,55.12509536743164,1,1,998,998
IMU,48158800,-0.03801598399877548,0.01842489093542099,-0.0002677907468751073,-0.45812833309173584,-0.4680047929286957,-9.832006454467773,0,0,55.12798309326172,1,1,998,998
IMU,48199529,-0.06683094054460526,-0.08203253149986267,0.12750829756259918,1.2100849151611328,-1.2287551164627075,-9.847760200500488,0,0,55.13132858276367,1,1,998,998
IMU,48238713,-0.023483414202928543,0.03708599880337715,0.024763111025094986,-0.7042657136917114,-0.2563759386539459,-10.381678581237793,0,0,55.1346435546875,1,1,998,998
IMU,48278766,0.009232882410287857,0.00908053107559681,0.007122731767594814,-0.3996894061565399,-1.3318829536437988,-10.315835952758789,0,0,55.136878967285156,1,1,998,998
IMU,48320556,-0.017361953854560852,0.012442464008927345,-0.009972237050533295,-0.49611762166023254,-0.49003127217292786,-9.595243453979492,0,0,55.13728332519531,1,1,998,998
IMU,48360277,0.03652527555823326,0.01762460544705391,-0.055607832968235016,-1.4827561378479004,2.1005678176879883,-8.205160140991211,0,0,55.13811111450195,1,1,998,998
IMU,48400749,-0.027964428067207336,0.018071386963129044,-0.007910766638815403,-0.43564555048942566,-0.4262440800666809,-9.812094688415527,0,0,55.13911819458008,1,1,998,998
IMU,48441575,-0.050869278609752655,-0.09506724774837494,0.09394542872905731,1.430162787437439,-1.8780268430709839,-10.923870086669922,0,0,55.14174270629883,1,1,998,998
IMU,48481588,0.01009519211947918,0.0018164324574172497,-0.025932885706424713,0.3702368140220642,0.6119340658187866,-10.537109375,0,0,55.144283294677734,1,1,998,998
IMU,48521740,0.05385039001703262,0.0671209767460823,-0.048397909849882126,-1.563169240951538,-0.1990509033203125,-9.738801956176758,0,0,55.145729064941406,1,1,998,998
IMU,48561690,-0.030406123027205467,0.028831996023654938,0.026832710951566696,-0.5579806566238403,-0.8079819083213806,-9.638782501220703,0,0,55.14592742919922,1,1,998,998
IMU,48602284,-0.01022141333669424,-0.05353580415248871,0.034834228456020355,0.19058385491371155,0.3977624177932739,-8.642898559570312,0,0,55.146121978759766,1,1,998,998
IMU,48642297,0.022592928260564804,-0.024779047816991806,-0.06221805512905121,0.5180991888046265,0.2555719316005707,-10.644169807434082,0,0,55.14654541015625,1,1,998,998
